
5999	AKN	11033.125	415.519986733	11920	10462	D-edges 643 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5831	QV	9801.0	578.981541157	10922	8630	D-edges 650 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5830	J6	9800.625	652.410135095	10769	8619	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5829	ABQ	9798.0	583.392020857	10821	8966	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5828	AA3	9798.0	536.798845006	10886	8613	D-edges 647 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5827	OT	9793.5	543.589114129	10941	8806	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 76 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5826	NP	9786.0625	675.934581593	10624	7977	D-edges 646 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5825	PR	9784.4375	339.051797066	10396	9229	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5824	YO	9782.4375	469.629637154	10682	9027	D-edges 650 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5823	4Y	9778.1875	777.212182961	10805	7987	D-edges 652 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5822	4S	9775.75	453.752066111	10563	9106	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 75 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5821	QH	9774.5625	577.352899961	11259	8707	D-edges 646 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 19
5820	UV	9773.9375	724.647540942	10659	8376	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5819	ALZ	9770.9375	1007.71390215	11808	8119	D-edges 623 	D-max-degree 36 	D-min-degree 14 	D-max-in-degree 18 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 6 	D-diameter-from0 2 	UR-edges 79 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 44 	NSUC.conn 44 	NSUC-D-max-degree 36 	NSUC-D-max-in-degree 18 	NSUC-D-max-out-degree 21
5818	Q7	9763.8125	467.043121504	10442	8468	D-edges 653 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5817	5D	9759.875	470.712342493	10615	9156	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5816	42	9759.625	882.526123905	11138	7759	D-edges 653 	D-max-degree 35 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 82 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5815	PQ	9756.4375	541.200860212	10709	8703	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5814	MT	9751.0625	602.5202765	11140	8757	D-edges 647 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5813	M5	9749.3125	556.660659508	10908	8956	D-edges 646 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5812	2U	9747.125	596.555097518	10814	8513	D-edges 645 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 43 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 43 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 19
5811	AAP	9746.9375	467.542173064	10584	8855	D-edges 647 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5810	4M	9746.6875	543.070520139	10695	8736	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5809	ACB	9745.375	594.779462805	10957	8886	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 76 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5808	QK	9742.5625	443.401478452	10752	8883	D-edges 652 	D-max-degree 34 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5807	K6	9742.4375	548.61222288	10577	8878	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5806	SL	9737.75	872.665349662	11046	8372	D-edges 646 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 76 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5805	KJ	9736.8125	636.179634493	10965	8420	D-edges 653 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 82 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5804	UI	9734.8125	481.355925843	10439	8378	D-edges 647 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5803	AGE	9722.3125	918.583265058	11175	7980	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5802	LE	9719.9375	681.70865008	11057	7945	D-edges 650 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5801	MO	9719.4375	507.417230781	10324	8629	D-edges 650 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5800	JK	9717.75	654.080604742	10898	8854	D-edges 648 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5799	IV	9717.0	438.199155636	10414	8874	D-edges 652 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5798	AL2	9715.25	779.979847496	11045	8150	D-edges 634 	D-max-degree 33 	D-min-degree 17 	D-max-in-degree 22 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 75 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 46 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 19
5797	SM	9714.75	389.592014164	10376	8957	D-edges 652 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5796	JN	9713.4375	571.392812427	10699	8516	D-edges 649 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5795	J2	9710.3125	526.531898221	10583	8374	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5794	AR6	9709.625	512.510106608	10591	8640	D-edges 638 	D-max-degree 33 	D-min-degree 17 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 75 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	DD 45 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5793	LB	9705.75	610.659633102	10466	8498	D-edges 651 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5792	JC	9704.0	599.667407819	10608	8502	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5791	IX	9703.8125	552.415855442	10553	8502	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5790	6G	9703.375	485.231114393	10752	8992	D-edges 647 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 46 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 19
5789	SC	9699.6875	606.409176913	10923	8628	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5788	Q6	9698.9375	655.478972656	10716	8597	D-edges 649 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5787	HM	9698.9375	496.181981327	10381	8927	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5786	KY	9698.25	720.865061922	10954	8276	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5785	UG	9691.3125	594.826415725	11165	8746	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5784	K2	9689.0	592.361903738	10718	8700	D-edges 651 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5783	AKE	9688.625	579.236229336	10667	8992	D-edges 660 	D-max-degree 36 	D-min-degree 16 	D-max-in-degree 18 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 37 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 37 	NSUC.conn 0 	NSUC-D-max-degree 36 	NSUC-D-max-in-degree 18 	NSUC-D-max-out-degree 19
5782	AKL	9682.625	515.656241478	10677	8937	D-edges 654 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 19
