
5999	APQ	11288.4375	304.378047983	11936	10821	D-edges 167 	D-max-degree 22 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 11 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 32 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 17 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 17 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 11
5886	RD	9283.125	616.710211019	10259	8098	D-edges 176 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 12 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 38 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5885	QG	9258.25	768.01005039	10455	7797	D-edges 174 	D-max-degree 23 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 4 	D-max-out-degree 13 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 37 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5884	NX	9250.4375	514.157802716	10017	8050	D-edges 187 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5883	OY	9210.25	622.37634314	10472	8304	D-edges 185 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5882	PR	9202.75	723.407086294	10462	7908	D-edges 183 	D-max-degree 25 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5881	PS	9173.4375	684.389871414	10164	7672	D-edges 175 	D-max-degree 22 	D-min-degree 12 	D-max-in-degree 14 	D-min-in-degree 5 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 38 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 13
5880	PC	9121.5625	505.957874821	9941	8004	D-edges 186 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5879	OA	9121.3125	492.11618531	9986	8345	D-edges 184 	D-max-degree 25 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5878	PB	9118.375	636.658942743	10366	8270	D-edges 186 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5877	Q7	9087.5625	466.446536158	9965	8441	D-edges 187 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5876	NF	9052.875	623.514121231	10020	7776	D-edges 182 	D-max-degree 25 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5875	QX	8999.1875	637.978665273	10214	8040	D-edges 185 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5874	QC	8996.5	556.539755992	10131	8043	D-edges 186 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5873	NE	8857.4375	655.287243195	9993	7906	D-edges 186 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5872	ME	8855.4375	524.626649241	9803	7585	D-edges 187 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5871	KM	8852.625	779.384602988	10472	7722	D-edges 183 	D-max-degree 24 	D-min-degree 13 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 39 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 13
5870	VS	8846.1875	606.599045782	9733	7214	D-edges 173 	D-max-degree 28 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 3 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 38 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 28 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 15
5869	PJ	8843.6875	580.345233326	9889	7498	D-edges 186 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5868	PK	8837.6875	695.237703842	9813	7555	D-edges 188 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5867	RO	8798.625	674.313528246	9918	7131	D-edges 186 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5866	OQ	8794.5625	591.408802009	9739	7725	D-edges 182 	D-max-degree 24 	D-min-degree 13 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 39 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 13
5865	RE	8685.125	649.667114279	9773	7397	D-edges 185 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5864	QI	8654.875	654.074238428	10003	7591	D-edges 183 	D-max-degree 25 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5863	NC	8643.8125	791.938382921	9862	6924	D-edges 187 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5862	VT	8631.8125	829.529551821	9727	6691	D-edges 169 	D-max-degree 24 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 4 	D-max-out-degree 11 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 36 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 11
5861	P3	8631.8125	629.912912508	9867	7420	D-edges 185 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5860	M2	8607.75	407.848547257	9581	8056	D-edges 179 	D-max-degree 27 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 0 	UR-components 2 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 27 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 14
5859	KL	8581.9375	480.751165983	9214	7508	D-edges 168 	D-max-degree 23 	D-min-degree 11 	D-max-in-degree 14 	D-min-in-degree 5 	D-max-out-degree 12 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 38 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5858	O4	8573.8125	642.798103874	9727	6923	D-edges 185 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5857	OL	8563.8125	648.092221326	9670	7669	D-edges 184 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 39 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 14
5856	MX	8538.625	632.806830222	9644	7543	D-edges 184 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 39 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5855	LG	8531.8125	623.430050081	9837	7558	D-edges 180 	D-max-degree 27 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 0 	UR-components 2 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 27 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 14
5854	HR	8525.125	724.047380615	9849	7307	D-edges 184 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 40 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5853	I6	8521.875	726.438475974	10384	7589	D-edges 181 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 12 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 0 	UR-components 2 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 26 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 14
5852	J4	8511.875	546.803423887	9554	7378	D-edges 183 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 40 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5851	QZ	8499.875	411.681137988	9269	7596	D-edges 182 	D-max-degree 26 	D-min-degree 12 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 26 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 14
5850	OO	8497.0	555.493249284	9593	7538	D-edges 175 	D-max-degree 23 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 4 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 41 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5849	K2	8464.9375	703.904953523	9730	7698	D-edges 177 	D-max-degree 26 	D-min-degree 12 	D-max-in-degree 12 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 40 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 26 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 14
5848	LX	8427.6875	505.677728246	9340	7774	D-edges 182 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 40 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5847	F6	8397.625	849.24090185	9716	6699	D-edges 181 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 41 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 13
5846	ID	8371.5625	330.206179672	9193	7868	D-edges 185 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 39 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5845	M4	8370.375	807.071083843	10479	7444	D-edges 180 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 12 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 41 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 0 	UR-components 2 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 26 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 14
5844	MS	8369.8125	472.794778253	9208	7579	D-edges 176 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 12 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 40 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 14
5843	K4	8340.5625	562.936271787	9701	7462	D-edges 184 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 40 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5842	LS	8328.6875	624.03011934	9657	7326	D-edges 183 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 40 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5841	LA	8325.75	482.513147489	9241	7697	D-edges 179 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 12 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 41 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 0 	UR-components 2 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 26 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 14
5840	JZ	8322.125	486.15916568	9359	7486	D-edges 183 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 41 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 13
5839	FZ	8306.1875	616.120850437	9591	7525	D-edges 183 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 12 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 41 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 0 	UR-components 2 	DD 18 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 26 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 14
5838	KX	8298.0	560.695550187	9538	7310	D-edges 177 	D-max-degree 23 	D-min-degree 10 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 38 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 13
5837	IB	8268.6875	528.261029079	9223	7325	D-edges 187 	D-max-degree 25 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
