
5999	APP	5892.3125	61.1889683174	6025	5767	D-edges 115 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5938	UW	5583.625	61.4592090333	5768	5516	D-edges 112 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5937	LQ	5579.125	83.2818069869	5685	5430	D-edges 112 	D-max-degree 18 	D-min-degree 6 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 19 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5936	NS	5576.5625	105.585255096	5783	5327	D-edges 113 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 19 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5935	N7	5576.3125	69.0051798327	5721	5482	D-edges 109 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5934	PC	5563.9375	64.0531700523	5668	5441	D-edges 114 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5933	I6	5555.625	71.6797347582	5695	5462	D-edges 104 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5932	PR	5547.1875	84.3691433153	5720	5356	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5931	KZ	5540.0625	60.0733601004	5658	5424	D-edges 105 	D-max-degree 14 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5930	K5	5540.0	72.7916547415	5659	5404	D-edges 103 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5929	OH	5538.0625	68.3926793871	5655	5447	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5928	UJ	5536.875	64.3106474466	5620	5377	D-edges 111 	D-max-degree 19 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 21 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 6 	all_loopy_nodes 6 	conn_loopy_nodes 0
5927	IO	5523.625	43.308306074	5602	5464	D-edges 102 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5926	PU	5520.3125	58.7321448932	5626	5435	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5925	LT	5515.375	60.1455266416	5632	5430	D-edges 100 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5924	MN	5511.9375	66.8678442433	5605	5373	D-edges 103 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5923	MC	5505.0	70.9762284149	5662	5406	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5922	LF	5499.5625	57.2101048221	5597	5416	D-edges 101 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5921	M3	5498.9375	80.5748632872	5636	5325	D-edges 106 	D-max-degree 14 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5920	LC	5497.75	51.5430645189	5567	5414	D-edges 103 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5919	QM	5495.5625	69.3099638851	5666	5376	D-edges 115 	D-max-degree 19 	D-min-degree 7 	D-max-in-degree 11 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 21 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 13 	all_loopy_nodes 13 	conn_loopy_nodes 0
5918	LX	5486.0625	68.8862003144	5612	5362	D-edges 101 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5917	P7	5485.9375	68.6544506478	5588	5360	D-edges 99 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5916	MW	5484.3125	64.6816422469	5619	5361	D-edges 101 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5915	WG	5482.5	75.0899460647	5584	5339	D-edges 111 	D-max-degree 18 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5914	L4	5475.4375	83.2841287026	5637	5330	D-edges 101 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5913	SE	5467.5	57.7299748831	5579	5338	D-edges 98 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	UR-sumcomponent-non0gt2lasso 13 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5912	LG	5440.4375	60.6372088222	5567	5309	D-edges 99 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5911	AVH	5438.6875	75.3895871043	5643	5367	D-edges 117 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 7 	all_loopy_nodes 7 	conn_loopy_nodes 0
5910	MR	5435.0	59.5629918658	5548	5330	D-edges 105 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5909	QH	5431.5	46.5926496349	5534	5357	D-edges 110 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 14 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5908	KB	5415.4375	40.0108871902	5503	5351	D-edges 101 	D-max-degree 14 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5907	JM	5407.8125	88.2342186669	5560	5265	D-edges 100 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5906	JE	5407.75	67.6558386246	5505	5257	D-edges 102 	D-max-degree 14 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 3 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5905	M2	5400.0	119.427802458	5601	5180	D-edges 112 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 11 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 13 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5904	JN	5379.25	86.9953303344	5543	5217	D-edges 102 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5903	IV	5372.75	86.6447488311	5500	5169	D-edges 117 	D-max-degree 16 	D-min-degree 6 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 22 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 10 	conn_loopy_nodes 10
5902	LD	5369.25	54.0676659382	5442	5247	D-edges 116 	D-max-degree 17 	D-min-degree 5 	D-max-in-degree 9 	D-min-in-degree 4 	D-max-out-degree 10 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5901	D2	5364.0625	98.7221281869	5587	5220	D-edges 104 	D-max-degree 14 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 13 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	UR-sumcomponent-non0gt2lasso 14 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5900	JR	5362.9375	51.6472031552	5446	5256	D-edges 111 	D-max-degree 15 	D-min-degree 6 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 11 	all_loopy_nodes 11 	conn_loopy_nodes 0
5899	O5	5362.6875	79.1404753824	5499	5187	D-edges 113 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5898	JK	5359.875	102.642507642	5657	5254	D-edges 104 	D-max-degree 15 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5897	JJ	5348.125	106.203151436	5573	5204	D-edges 105 	D-max-degree 14 	D-min-degree 8 	D-max-in-degree 8 	D-min-in-degree 3 	D-max-out-degree 8 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 8 	UR-sumcomponent-non0gt2lasso 13 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5896	H7	5342.8125	61.3781503774	5484	5264	D-edges 116 	D-max-degree 15 	D-min-degree 7 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 20 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 11 	conn_loopy_nodes 11
5895	LE	5334.0	58.8706208562	5416	5179	D-edges 98 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5894	IW	5333.625	67.3692019769	5434	5139	D-edges 104 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 15 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5893	LP	5315.6875	50.9739133651	5392	5183	D-edges 104 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 3 	D-max-out-degree 8 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5892	DG	5315.6875	62.140685897	5417	5193	D-edges 115 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 9 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 17 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 6 	all_loopy_nodes 6 	conn_loopy_nodes 0
5891	JH	5313.5	70.2273095028	5424	5133	D-edges 116 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 24 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 12 	conn_loopy_nodes 12
5890	HT	5311.5	69.1827290586	5425	5203	D-edges 116 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 14 	disc_loopy_nodes 6 	all_loopy_nodes 6 	conn_loopy_nodes 0
5889	GS	5311.0625	54.7533888791	5401	5219	D-edges 107 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 6 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 7 	all_loopy_nodes 7 	conn_loopy_nodes 0
5888	FM	5304.0	61.7191218343	5389	5179	D-edges 119 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 9 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 20 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5887	DR	5299.9375	76.5493866321	5458	5136	D-edges 116 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 9 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 6 	all_loopy_nodes 6 	conn_loopy_nodes 0
5886	MX	5294.25	129.394020341	5534	5037	D-edges 117 	D-max-degree 18 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 4 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 23 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 15 	all_loopy_nodes 15 	conn_loopy_nodes 0
5885	GE	5284.75	54.8446670151	5375	5174	D-edges 110 	D-max-degree 18 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 10 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 20 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5884	DY	5284.75	59.8012332649	5377	5149	D-edges 117 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 9 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 19 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 9 	all_loopy_nodes 9 	conn_loopy_nodes 0
5883	FH	5282.8125	68.2570680864	5421	5151	D-edges 121 	D-max-degree 18 	D-min-degree 8 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 10 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	UR-sumcomponent-non0gt2lasso 14 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5882	DX	5274.75	94.2068866909	5424	4996	D-edges 115 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 9 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5881	SV	5268.4375	52.1020258123	5389	5194	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 17 	UR-max-degree 6 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 5 	all_loopy_nodes 5 	conn_loopy_nodes 0
5880	GP	5265.375	105.660349115	5431	5065	D-edges 116 	D-max-degree 17 	D-min-degree 8 	D-max-in-degree 9 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 17 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5879	FG	5263.625	57.0667098666	5349	5176	D-edges 109 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 11 	all_loopy_nodes 11 	conn_loopy_nodes 0
5878	JO	5257.0625	83.4029891176	5438	5125	D-edges 104 	D-max-degree 14 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 5 	all_loopy_nodes 5 	conn_loopy_nodes 0
