
5999	B6T	6940.5	89.9485964315	7149	6750	D-edges 229 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5784	AFN	6568.8125	61.3842597394	6694	6446	D-edges 220 	D-max-degree 26 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5783	ADO	6568.75	72.7654622744	6722	6445	D-edges 219 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 66 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5782	AAU	6566.375	56.303724344	6679	6497	D-edges 217 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5781	A2V	6565.5	92.3464942486	6731	6381	D-edges 227 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 68 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5780	A25	6564.25	76.6889007615	6718	6375	D-edges 226 	D-max-degree 28 	D-min-degree 17 	D-max-in-degree 15 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5779	ADQ	6563.0	95.0236812589	6757	6430	D-edges 216 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5778	A3Q	6560.9375	45.3175859215	6624	6442	D-edges 228 	D-max-degree 27 	D-min-degree 18 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 67 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5777	ACM	6560.375	103.365779516	6729	6335	D-edges 221 	D-max-degree 26 	D-min-degree 18 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5776	A2U	6553.5	89.6521053852	6709	6427	D-edges 224 	D-max-degree 27 	D-min-degree 16 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5775	AYE	6551.625	59.752484258	6640	6438	D-edges 229 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 16 	D-min-in-degree 8 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 66 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5774	BK3	6551.5625	64.6470888266	6668	6465	D-edges 227 	D-max-degree 27 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 3 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5773	ATR	6551.5625	60.8984490258	6650	6382	D-edges 231 	D-max-degree 28 	D-min-degree 17 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 69 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5772	AEX	6544.8125	85.7774873947	6687	6394	D-edges 216 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5771	ACK	6543.5	68.3319105543	6678	6445	D-edges 217 	D-max-degree 28 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5770	AXV	6543.375	66.3173007216	6672	6429	D-edges 222 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 16 	D-min-in-degree 6 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5769	AFT	6542.5625	60.2069023763	6618	6401	D-edges 218 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5768	ABY	6542.125	90.0832080634	6721	6406	D-edges 216 	D-max-degree 28 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5767	AIL	6541.8125	72.4277387729	6678	6418	D-edges 218 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 61 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5766	BNS	6541.5	59.2969223485	6658	6437	D-edges 234 	D-max-degree 28 	D-min-degree 15 	D-max-in-degree 18 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 69 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5765	ADC	6539.375	103.633895879	6716	6378	D-edges 215 	D-max-degree 27 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 61 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5764	ASY	6538.75	79.1237164193	6694	6380	D-edges 221 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5763	AYM	6538.5625	76.7397947205	6672	6343	D-edges 229 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 69 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5762	ABS	6538.25	87.9968039192	6669	6407	D-edges 219 	D-max-degree 26 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5761	AEY	6537.5	59.5524978485	6597	6349	D-edges 218 	D-max-degree 26 	D-min-degree 17 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5760	AFL	6537.0625	68.4840024659	6687	6454	D-edges 216 	D-max-degree 28 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5759	BUY	6536.5	65.4723223966	6667	6441	D-edges 227 	D-max-degree 28 	D-min-degree 17 	D-max-in-degree 17 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 9 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5758	AC3	6536.125	60.7102493406	6627	6392	D-edges 213 	D-max-degree 27 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 59 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 19 	all_loopy_nodes 19 	conn_loopy_nodes 0
5757	AKL	6534.9375	61.8612042701	6634	6420	D-edges 219 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 17 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 60 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5756	A3R	6534.375	65.5599677776	6652	6360	D-edges 224 	D-max-degree 28 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5755	AXS	6533.375	77.0412835758	6667	6389	D-edges 234 	D-max-degree 28 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 6 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 69 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5754	AMI	6530.1875	76.1086548544	6666	6368	D-edges 228 	D-max-degree 28 	D-min-degree 17 	D-max-in-degree 18 	D-min-in-degree 9 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 68 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5753	73	6525.75	57.4004573153	6614	6428	D-edges 222 	D-max-degree 27 	D-min-degree 18 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 10 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5752	AXL	6525.5	54.7619849896	6598	6433	D-edges 226 	D-max-degree 26 	D-min-degree 17 	D-max-in-degree 15 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5751	APD	6524.8125	70.4141487469	6647	6413	D-edges 220 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5750	AX2	6520.375	67.5618929205	6596	6365	D-edges 226 	D-max-degree 27 	D-min-degree 16 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 16 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5749	ADY	6517.25	72.1166589631	6666	6395	D-edges 216 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5748	AUS	6516.9375	62.8991939038	6645	6408	D-edges 225 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 16 	D-min-in-degree 8 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5747	AQE	6515.8125	70.5241259694	6658	6372	D-edges 222 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5746	ADN	6514.25	65.6053542022	6661	6432	D-edges 215 	D-max-degree 28 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5745	AXM	6513.0	85.7233923734	6669	6301	D-edges 223 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 66 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5744	AEB	6508.875	74.9673887434	6670	6369	D-edges 220 	D-max-degree 26 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 10 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5743	AXC	6508.125	78.1247999997	6659	6377	D-edges 222 	D-max-degree 27 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5742	AMB	6507.6875	57.8205399815	6593	6421	D-edges 222 	D-max-degree 28 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 60 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 19 	all_loopy_nodes 19 	conn_loopy_nodes 0
5741	7U	6507.375	60.7215725669	6651	6395	D-edges 216 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 12 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 19 	all_loopy_nodes 19 	conn_loopy_nodes 0
5740	AFC	6504.25	83.0109179566	6617	6247	D-edges 219 	D-max-degree 26 	D-min-degree 18 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5739	AYF	6500.375	63.9197494911	6667	6421	D-edges 220 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 60 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5738	AMW	6498.8125	91.3155372527	6715	6376	D-edges 222 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 66 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5737	ADE	6498.8125	66.8470443905	6644	6395	D-edges 221 	D-max-degree 27 	D-min-degree 18 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 65 	UR-max-degree 10 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5736	ABZ	6494.75	81.8241254154	6669	6307	D-edges 221 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 16 	D-min-in-degree 6 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 10 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5735	ABR	6494.6875	78.8057094616	6688	6335	D-edges 216 	D-max-degree 30 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 64 	UR-max-degree 13 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 19 	all_loopy_nodes 19 	conn_loopy_nodes 0
5734	ADX	6492.0	65.6848536574	6608	6329	D-edges 215 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 12 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 19 	all_loopy_nodes 19 	conn_loopy_nodes 0
5733	BMB	6486.8125	72.3655812092	6662	6359	D-edges 228 	D-max-degree 27 	D-min-degree 17 	D-max-in-degree 17 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 61 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5732	BNT	6484.25	69.7517920917	6603	6330	D-edges 219 	D-max-degree 28 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 6 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 56 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5731	AUQ	6483.9375	51.2402048566	6588	6425	D-edges 218 	D-max-degree 26 	D-min-degree 16 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 58 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5730	ATQ	6483.6875	53.7990691718	6561	6371	D-edges 216 	D-max-degree 27 	D-min-degree 16 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 58 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5729	ANE	6483.6875	61.6783174523	6578	6360	D-edges 226 	D-max-degree 28 	D-min-degree 18 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 68 	UR-max-degree 12 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5728	63	6474.125	46.7999399038	6556	6378	D-edges 215 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 12 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 19 	all_loopy_nodes 19 	conn_loopy_nodes 0
5727	AMQ	6473.625	57.6572577825	6559	6370	D-edges 220 	D-max-degree 28 	D-min-degree 17 	D-max-in-degree 15 	D-min-in-degree 6 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 58 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
5726	AEI	6472.75	86.7182939177	6618	6333	D-edges 219 	D-max-degree 26 	D-min-degree 18 	D-max-in-degree 16 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 62 	UR-max-degree 10 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5725	AB7	6472.3125	38.4264211676	6537	6393	D-edges 215 	D-max-degree 29 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 63 	UR-max-degree 12 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 19 	all_loopy_nodes 19 	conn_loopy_nodes 0
5724	A2G	6471.0625	66.7190646948	6604	6322	D-edges 222 	D-max-degree 28 	D-min-degree 16 	D-max-in-degree 17 	D-min-in-degree 7 	D-max-out-degree 15 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 66 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	UR-sumcomponent-non0gt2lasso 0 	disc_loopy_nodes 0 	all_loopy_nodes 19 	conn_loopy_nodes 19
