
5999	D2Q	16824.0	82.245060642	16978	16646	D-edges 762 	D-max-degree 40 	D-min-degree 22 	D-max-in-degree 23 	D-min-in-degree 10 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 132 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 23
5796	BSV	16079.125	80.4735010733	16231	15896	D-edges 729 	D-max-degree 38 	D-min-degree 19 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 115 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5795	AUZ	16075.9375	124.879175981	16323	15853	D-edges 714 	D-max-degree 38 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 113 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5794	ALE	16075.5625	182.298508205	16324	15713	D-edges 717 	D-max-degree 39 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 125 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5793	AR6	16072.4375	81.3725758087	16211	15919	D-edges 714 	D-max-degree 41 	D-min-degree 17 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 116 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5792	BRK	16071.4375	112.260282797	16296	15776	D-edges 733 	D-max-degree 39 	D-min-degree 19 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 115 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 20
5791	ATC	16070.875	153.31620715	16294	15811	D-edges 710 	D-max-degree 38 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 111 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5790	DJX	16070.6875	130.218911237	16274	15750	D-edges 776 	D-max-degree 42 	D-min-degree 17 	D-max-in-degree 24 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 129 	UR-max-degree 11 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 24 	NSUC-D-max-out-degree 23
5789	B7M	16069.9375	94.0448488422	16219	15902	D-edges 731 	D-max-degree 39 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 115 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 23
5788	BQC	16068.8125	106.14507687	16219	15887	D-edges 716 	D-max-degree 39 	D-min-degree 17 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 104 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5787	BYO	16065.8125	91.6352952947	16190	15892	D-edges 707 	D-max-degree 38 	D-min-degree 19 	D-max-in-degree 19 	D-min-in-degree 8 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 103 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 21
5786	ALY	16065.4375	101.782223859	16268	15875	D-edges 709 	D-max-degree 40 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 116 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5785	AIH	16064.375	114.281929346	16237	15815	D-edges 709 	D-max-degree 37 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 114 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5784	AL2	16062.9375	174.580020603	16360	15762	D-edges 708 	D-max-degree 40 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 116 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5783	BCN	16060.5	123.849707307	16217	15845	D-edges 731 	D-max-degree 38 	D-min-degree 17 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 20 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 117 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 20
5782	DQR	16059.625	79.6914949979	16216	15882	D-edges 741 	D-max-degree 40 	D-min-degree 17 	D-max-in-degree 22 	D-min-in-degree 7 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 131 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5781	BFB	16059.4375	126.0118887	16284	15824	D-edges 715 	D-max-degree 37 	D-min-degree 19 	D-max-in-degree 19 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 102 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 21
5780	BYL	16058.3125	119.206081404	16260	15873	D-edges 708 	D-max-degree 38 	D-min-degree 16 	D-max-in-degree 19 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 2 	UR-edges 104 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 21
5779	AK7	16058.3125	162.323257248	16322	15678	D-edges 709 	D-max-degree 40 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 116 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5778	B5W	16053.0	121.881602385	16330	15777	D-edges 728 	D-max-degree 39 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 9 	D-diameter-from0 3 	UR-edges 114 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 48 	NSUC.conn 48 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5777	DER	16047.5625	86.3712689136	16209	15931	D-edges 750 	D-max-degree 42 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 133 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5776	CWJ	16046.5625	109.325185084	16253	15856	D-edges 732 	D-max-degree 42 	D-min-degree 19 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 22 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 119 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5775	AO3	16045.0625	95.6951335949	16237	15895	D-edges 711 	D-max-degree 38 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 111 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5774	CWM	16042.1875	127.637288218	16249	15842	D-edges 735 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 23 	D-min-in-degree 8 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 127 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 21
5773	AOB	16042.0	156.400527493	16343	15729	D-edges 724 	D-max-degree 39 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 125 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5772	DGS	16041.5	138.262883667	16274	15711	D-edges 731 	D-max-degree 41 	D-min-degree 21 	D-max-in-degree 23 	D-min-in-degree 9 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 117 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 21
5771	C2A	16036.75	136.292195301	16274	15803	D-edges 730 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 116 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5770	AK4	16035.875	116.700939906	16268	15840	D-edges 716 	D-max-degree 37 	D-min-degree 19 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 20 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 115 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 19
5769	AIM	16034.3125	125.075336673	16258	15751	D-edges 707 	D-max-degree 37 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 114 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5768	AQK	16033.5625	131.829894537	16347	15855	D-edges 712 	D-max-degree 38 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 108 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5767	C7C	16029.9375	64.0082697294	16167	15915	D-edges 728 	D-max-degree 39 	D-min-degree 20 	D-max-in-degree 20 	D-min-in-degree 9 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 108 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5766	BG5	16028.5625	72.9280199495	16214	15903	D-edges 729 	D-max-degree 42 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 115 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5765	BN6	16025.875	132.760533951	16202	15728	D-edges 710 	D-max-degree 38 	D-min-degree 19 	D-max-in-degree 20 	D-min-in-degree 5 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 112 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5764	AOA	16025.625	100.599375619	16316	15879	D-edges 710 	D-max-degree 37 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 115 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
5763	BHN	16023.9375	112.679561562	16179	15808	D-edges 732 	D-max-degree 41 	D-min-degree 21 	D-max-in-degree 21 	D-min-in-degree 9 	D-max-out-degree 21 	D-min-out-degree 9 	D-diameter-from0 3 	UR-edges 104 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5762	CJP	16018.0	114.057003292	16240	15732	D-edges 733 	D-max-degree 40 	D-min-degree 22 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 9 	D-diameter-from0 2 	UR-edges 116 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5761	DSZ	16013.375	95.1800103751	16136	15839	D-edges 744 	D-max-degree 41 	D-min-degree 20 	D-max-in-degree 22 	D-min-in-degree 9 	D-max-out-degree 23 	D-min-out-degree 9 	D-diameter-from0 2 	UR-edges 122 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 47 	NSUC.conn 47 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5760	CHN	16008.6875	121.200102491	16237	15825	D-edges 736 	D-max-degree 40 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 124 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5759	DGT	15999.5	89.5691073976	16128	15777	D-edges 760 	D-max-degree 41 	D-min-degree 19 	D-max-in-degree 22 	D-min-in-degree 9 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 135 	UR-max-degree 12 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5758	DJY	15995.5	122.864763053	16154	15743	D-edges 721 	D-max-degree 41 	D-min-degree 19 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 107 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5757	DFD	15993.6875	112.068460522	16175	15678	D-edges 754 	D-max-degree 40 	D-min-degree 17 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 119 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5756	AE5	15991.25	73.3676529541	16181	15858	D-edges 704 	D-max-degree 37 	D-min-degree 17 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 19 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 106 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5755	ADM	15985.8125	99.9257341417	16127	15793	D-edges 702 	D-max-degree 39 	D-min-degree 17 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 107 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5754	BNW	15985.4375	130.917420895	16259	15712	D-edges 702 	D-max-degree 39 	D-min-degree 18 	D-max-in-degree 19 	D-min-in-degree 8 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 2 	UR-edges 101 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 21
5753	ANS	15983.8125	115.293765416	16192	15817	D-edges 704 	D-max-degree 39 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 112 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5752	B5C	15982.375	144.592044646	16238	15726	D-edges 740 	D-max-degree 38 	D-min-degree 19 	D-max-in-degree 21 	D-min-in-degree 9 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 115 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5751	DFJ	15977.4375	70.6284014668	16085	15846	D-edges 744 	D-max-degree 40 	D-min-degree 21 	D-max-in-degree 23 	D-min-in-degree 8 	D-max-out-degree 22 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 119 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 22
5750	DAH	15974.8125	108.966289942	16168	15818	D-edges 737 	D-max-degree 42 	D-min-degree 20 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 21 	D-min-out-degree 9 	D-diameter-from0 3 	UR-edges 117 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 21
5749	CS4	15973.5	104.511961038	16156	15724	D-edges 736 	D-max-degree 41 	D-min-degree 16 	D-max-in-degree 23 	D-min-in-degree 6 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 125 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 23
5748	AR5	15972.375	117.437150745	16201	15751	D-edges 719 	D-max-degree 39 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 126 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 21
