
5999	AZH	239162.625	3520.07652394	245861	232791	D-edges 344 	D-max-degree 22 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 4 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 4 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 25 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5939	OT	216835.6875	2988.61576902	223045	211729	D-edges 344 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5938	T2	216756.9375	3465.88048822	224829	211560	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5937	RU	216636.125	2659.49940955	223911	212460	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5936	NT	216340.0625	1709.77789013	218643	213511	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5935	P6	216249.8125	3870.49155823	223867	210098	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5934	R5	216180.9375	4004.64747932	223671	207606	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5933	KV	215913.8125	3235.18494871	221448	210674	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5932	OF	215480.9375	3214.27574402	220567	209035	D-edges 344 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5931	OJ	215178.8125	4001.17893906	222152	205061	D-edges 346 	D-max-degree 24 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 13 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 25 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5930	MZ	215073.9375	4090.4595932	221372	208216	D-edges 346 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5929	OR	214873.375	2855.04021152	219686	208843	D-edges 344 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 27 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 23 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5928	RG	214681.4375	2949.86652174	219382	208286	D-edges 345 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5927	NR	214533.3125	3569.64031309	220419	205357	D-edges 344 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5926	PM	214228.5625	4478.26869405	224774	207320	D-edges 344 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5925	P7	214133.0	3739.30732222	219882	206138	D-edges 348 	D-max-degree 24 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5924	N4	214029.1875	2776.81117063	219322	207187	D-edges 335 	D-max-degree 23 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 27 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 21 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5923	QK	213692.75	4052.40989258	219202	205587	D-edges 350 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 16 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5922	XM	213089.5	1694.12831568	215132	209769	D-edges 350 	D-max-degree 24 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 32 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 25 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5921	AYQ	211994.3125	4548.38197493	218850	202022	D-edges 348 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 12 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 26 	NSUC.disc 9 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 9 	NSUC.conn 0
5920	AX7	210649.25	3600.40790224	215285	202923	D-edges 340 	D-max-degree 19 	D-min-degree 7 	D-max-in-degree 13 	D-min-in-degree 4 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 25 	NSUC.disc 11 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 11 	NSUC.conn 0
5919	N5	208941.375	4982.13815639	219986	202207	D-edges 355 	D-max-degree 24 	D-min-degree 8 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 31 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 26 	NSUC.disc 12 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5918	APH	207924.875	3752.8825567	214881	203218	D-edges 345 	D-max-degree 22 	D-min-degree 7 	D-max-in-degree 13 	D-min-in-degree 4 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 4 	UR-edges 27 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 9 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 9 	NSUC.conn 0
5917	AYA	206908.0625	3666.70777859	212849	199160	D-edges 348 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 13 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 31 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 25 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5916	AUK	197993.1875	3485.64298621	203680	192911	D-edges 334 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 16 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 4 	UR-edges 31 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5915	XW	196726.6875	3599.19870802	203022	188916	D-edges 356 	D-max-degree 25 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 30 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5914	XI	195404.875	2344.68712931	198517	188861	D-edges 348 	D-max-degree 23 	D-min-degree 9 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 4 	UR-edges 29 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 23 	NSUC.disc 9 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 9 	NSUC.conn 0
5913	XX	191865.875	6093.98742486	201749	179655	D-edges 349 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 27 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 24 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5912	Y5	191779.125	3610.52821404	197143	183139	D-edges 353 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 30 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5911	PZ	188472.5625	3553.82350379	194697	179819	D-edges 353 	D-max-degree 23 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 30 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 28 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5910	RH	187714.25	4598.88579577	196214	181029	D-edges 346 	D-max-degree 21 	D-min-degree 4 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 26 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5909	PY	187450.5625	4237.4021813	195539	180722	D-edges 339 	D-max-degree 24 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 25 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 22 	NSUC.disc 9 	CSUC.disc 2 	min_CSUC.disc 4 	all_sinkless_cycles 9 	NSUC.conn 0
5908	RT	187021.25	4030.35729651	194954	179127	D-edges 361 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 4 	D-diameter-from0 3 	UR-edges 27 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 18 	NSUC.disc 9 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 9 	NSUC.conn 0
5907	XN	185961.75	2492.72224435	189470	181347	D-edges 352 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 4 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 26 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 21 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5906	S7	185232.9375	3124.6714121	192659	178231	D-edges 353 	D-max-degree 24 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 32 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 26 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5905	S6	185091.8125	3670.06168577	190345	176702	D-edges 343 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 16 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 25 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 22 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5904	PC	184996.75	6100.9013832	196920	173368	D-edges 353 	D-max-degree 27 	D-min-degree 7 	D-max-in-degree 17 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5903	AXH	183383.1875	4486.99688292	190169	175347	D-edges 349 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 25 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 25 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5902	JA	182666.3125	2103.12489877	186105	178360	D-edges 347 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 24 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5901	RN	182580.375	2546.53710642	187216	176284	D-edges 347 	D-max-degree 21 	D-min-degree 7 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 25 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5900	XY	182446.625	2585.56238745	186052	174855	D-edges 355 	D-max-degree 22 	D-min-degree 9 	D-max-in-degree 13 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 32 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 20 	DD 25 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5899	LQ	182385.875	1990.46307034	186879	178967	D-edges 352 	D-max-degree 24 	D-min-degree 6 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 30 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 25 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5898	QY	181962.375	2678.37529752	184696	173507	D-edges 356 	D-max-degree 20 	D-min-degree 7 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 26 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5897	QO	181384.1875	5213.09126405	186200	162857	D-edges 346 	D-max-degree 20 	D-min-degree 7 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 22 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 30 	DD 19 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5896	KB	180633.625	2866.64546716	187770	176160	D-edges 348 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 24 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5895	ML	180622.25	2443.02910083	185038	177092	D-edges 348 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 24 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5894	MC	180495.1875	2128.1247678	183995	175974	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 24 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5893	LH	180212.9375	3137.9812075	186343	174396	D-edges 339 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 11 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 31 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 28 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5892	M2	179909.6875	2448.6773654	186108	175564	D-edges 346 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 30 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 25 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5891	XJ	179301.0	2977.20250403	184841	174484	D-edges 355 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 12 	D-min-in-degree 3 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 32 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 20 	DD 27 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5890	MW	179289.4375	2689.73723086	184175	174520	D-edges 347 	D-max-degree 23 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 24 	NSUC.disc 12 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0
5889	HW	178919.125	3921.8614183	185278	172970	D-edges 368 	D-max-degree 21 	D-min-degree 6 	D-max-in-degree 13 	D-min-in-degree 3 	D-max-out-degree 13 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 10 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 9 	NSUC.conn 3
5888	LN	177251.1875	5709.25819633	185382	161701	D-edges 357 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 4 	D-diameter-from0 3 	UR-edges 25 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5887	RO	177239.9375	3248.1039367	184021	172082	D-edges 343 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 26 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 18 	NSUC.disc 8 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5886	IJ	177084.0	3045.00377668	182090	170204	D-edges 359 	D-max-degree 22 	D-min-degree 8 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 4 	D-diameter-from0 3 	UR-edges 25 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5885	KU	176549.9375	3317.54867087	182644	171008	D-edges 336 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5884	AYR	175854.9375	3380.56787886	180693	168660	D-edges 340 	D-max-degree 20 	D-min-degree 8 	D-max-in-degree 10 	D-min-in-degree 4 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 24 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 27 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5883	KA	175782.5	9926.43162849	193612	142212	D-edges 367 	D-max-degree 21 	D-min-degree 6 	D-max-in-degree 12 	D-min-in-degree 3 	D-max-out-degree 13 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 10 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 9 	NSUC.conn 3
5882	J3	175590.0625	4909.42904609	181714	160916	D-edges 338 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5881	IG	175550.625	3043.12131854	182862	170993	D-edges 336 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5880	JY	175022.1875	3886.05449361	181800	164676	D-edges 337 	D-max-degree 21 	D-min-degree 8 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 23 	NSUC.disc 7 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5879	MF	174886.0	1955.87940579	178170	171708	D-edges 357 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 3 	D-diameter-from0 3 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 26 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0
