
5999	DGI	1115.375	41.4726943301	1164	995	D-edges 349 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 12 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 29 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 26 	NSUC.disc 12 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 12
5750	CKE	974.5625	18.1932980449	1009	938	D-edges 354 	D-max-degree 22 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 24 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 24 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 12
5749	7U	973.875	26.610324594	1022	916	D-edges 324 	D-max-degree 23 	D-min-degree 4 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 28 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 12
5748	5D	973.5625	16.1243943685	1001	946	D-edges 330 	D-max-degree 24 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5747	AFX	972.875	27.6063285317	1013	916	D-edges 346 	D-max-degree 23 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 28 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 12
5746	BF6	972.25	42.7134346547	1012	876	D-edges 327 	D-max-degree 23 	D-min-degree 6 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 27 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 25 	DD 23 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 12
5745	YI	971.0	21.880356487	1016	939	D-edges 328 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5744	B5E	969.8125	22.2856981885	1029	938	D-edges 350 	D-max-degree 21 	D-min-degree 6 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 28 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0 	NSUC-D-max-degree 21 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 11
5743	CQE	969.6875	13.4662483176	999	952	D-edges 356 	D-max-degree 22 	D-min-degree 7 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 28 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 26 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 12
5742	5X	968.3125	22.5242057296	1005	917	D-edges 324 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5741	ACV	967.625	27.6380059881	1029	928	D-edges 327 	D-max-degree 24 	D-min-degree 7 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 31 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5740	CQK	967.0625	63.9437924567	1029	858	D-edges 366 	D-max-degree 26 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 31 	UR-max-degree 6 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 29 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 26 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 13
5739	CGT	965.0625	36.5880252781	1011	883	D-edges 353 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 21 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 11
5738	5W	964.5625	30.9434337744	1013	894	D-edges 354 	D-max-degree 23 	D-min-degree 5 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 28 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 12
5737	2N	964.1875	27.9960237132	997	905	D-edges 323 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5736	SC	963.5	17.226433177	995	926	D-edges 325 	D-max-degree 25 	D-min-degree 5 	D-max-in-degree 15 	D-min-in-degree 1 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 15 	NSUC-D-max-out-degree 12
5735	5A	963.375	36.6842524116	1017	888	D-edges 346 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 12
5734	Y5	962.3125	33.1826738487	1015	863	D-edges 329 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 33 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 10 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5733	B6W	962.0	18.4390889146	998	932	D-edges 346 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 29 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 9 	CSUC.disc 1 	min_CSUC.disc 9 	all_sinkless_cycles 9 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 11
5732	DI2	961.875	19.1568362471	997	935	D-edges 348 	D-max-degree 23 	D-min-degree 7 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 27 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 23 	DD 27 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 0	NSUC-D-max-in-degree 0	NSUC-D-max-out-degree 0
5731	YW	961.1875	28.3289135646	1001	887	D-edges 329 	D-max-degree 25 	D-min-degree 5 	D-max-in-degree 15 	D-min-in-degree 1 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 15 	NSUC-D-max-out-degree 12
5730	ACW	960.75	27.2247589521	1000	889	D-edges 314 	D-max-degree 23 	D-min-degree 6 	D-max-in-degree 13 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 12
5729	DFP	959.5625	25.5317663656	1000	889	D-edges 366 	D-max-degree 22 	D-min-degree 7 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 33 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 19 	DD 25 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 11
5728	CHP	959.5625	34.100895791	1013	902	D-edges 347 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 31 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 20 	DD 29 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 10
5727	BNS	958.0	12.1911853402	976	929	D-edges 357 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 24 	NSUC.disc 3 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 3 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5726	CU3	957.3125	20.9096830141	1001	922	D-edges 347 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 12 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 23 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 20 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 0	NSUC-D-max-in-degree 0	NSUC-D-max-out-degree 0
5725	DHO	956.75	16.9022927439	995	928	D-edges 348 	D-max-degree 22 	D-min-degree 4 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 7 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 3 	NSUC.conn 3 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 10
5724	ZM	956.5	28.4495166919	1018	898	D-edges 324 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 33 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 10 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5723	B55	956.3125	17.6341952964	983	929	D-edges 356 	D-max-degree 22 	D-min-degree 4 	D-max-in-degree 13 	D-min-in-degree 0 	D-max-out-degree 11 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 25 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 22 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 11
5722	CRQ	955.75	19.5304249826	990	925	D-edges 349 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 13 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 37 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 17 	DD 32 	NSUC.disc 12 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 12 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 13 	NSUC-D-max-out-degree 12
5721	WH	955.25	22.5513303377	1008	906	D-edges 329 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5720	A4E	954.25	37.9991776227	998	861	D-edges 348 	D-max-degree 24 	D-min-degree 4 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 28 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 23 	NSUC.disc 13 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 13 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5719	4V	953.9375	30.8554467436	990	864	D-edges 330 	D-max-degree 24 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 33 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 10 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5718	CUH	953.75	21.440324158	986	911	D-edges 360 	D-max-degree 25 	D-min-degree 6 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 26 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 24 	DD 27 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 0	NSUC-D-max-in-degree 0	NSUC-D-max-out-degree 0
5717	6T	953.6875	15.5512007173	983	926	D-edges 330 	D-max-degree 25 	D-min-degree 5 	D-max-in-degree 15 	D-min-in-degree 1 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 15 	NSUC-D-max-out-degree 12
5716	S5	953.5625	23.0297870974	1006	916	D-edges 330 	D-max-degree 24 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 33 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 20 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5715	4B	952.9375	24.4807800887	986	909	D-edges 316 	D-max-degree 24 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 34 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 20 	DD 29 	NSUC.disc 11 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 11 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5714	UK	952.0	34.8155855904	990	880	D-edges 320 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 4 	all_sinkless_cycles 7 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5713	CBP	951.75	23.3733288173	991	907	D-edges 333 	D-max-degree 23 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 24 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 27 	DD 23 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 7 	all_sinkless_cycles 7 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 12
5712	CFJ	951.5	30.9515750811	1010	903	D-edges 347 	D-max-degree 21 	D-min-degree 5 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 22 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 28 	DD 21 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 0	NSUC-D-max-in-degree 0	NSUC-D-max-out-degree 0
5711	UM	951.375	30.9775624445	1002	876	D-edges 322 	D-max-degree 25 	D-min-degree 5 	D-max-in-degree 15 	D-min-in-degree 1 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 4 	all_sinkless_cycles 7 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 15 	NSUC-D-max-out-degree 12
5710	XW	951.25	27.4191994777	1009	907	D-edges 331 	D-max-degree 24 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 31 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5709	RM	951.125	18.2478594635	978	923	D-edges 324 	D-max-degree 25 	D-min-degree 5 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 30 	NSUC.disc 9 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 9 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 15 	NSUC-D-max-out-degree 12
5708	DFC	950.6875	14.606157734	975	916	D-edges 337 	D-max-degree 22 	D-min-degree 6 	D-max-in-degree 15 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 0 	D-diameter-from0 5 	UR-edges 30 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 32 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 6 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 11
5707	DKC	950.625	77.5651943529	1025	811	D-edges 356 	D-max-degree 23 	D-min-degree 3 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 29 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 14 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 3 	NSUC.conn 3 	NSUC-D-max-degree 20 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 10
5706	A5Y	950.3125	16.8586726568	976	903	D-edges 347 	D-max-degree 22 	D-min-degree 4 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 29 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 29 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0 	NSUC-D-max-degree 22 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 12
5705	A4D	950.1875	16.9787321008	978	924	D-edges 358 	D-max-degree 23 	D-min-degree 6 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 28 	NSUC.disc 10 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 23 	NSUC-D-max-in-degree 12 	NSUC-D-max-out-degree 12
5704	5C	949.8125	24.3957443779	993	894	D-edges 322 	D-max-degree 24 	D-min-degree 5 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5703	W4	949.5	23.587602676	982	887	D-edges 333 	D-max-degree 24 	D-min-degree 6 	D-max-in-degree 14 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 31 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 22 	DD 28 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 24 	NSUC-D-max-in-degree 14 	NSUC-D-max-out-degree 12
5702	S4	949.375	33.5146889438	999	867	D-edges 326 	D-max-degree 25 	D-min-degree 5 	D-max-in-degree 15 	D-min-in-degree 1 	D-max-out-degree 13 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 32 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 21 	DD 31 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0 	NSUC-D-max-degree 25 	NSUC-D-max-in-degree 15 	NSUC-D-max-out-degree 12
5701	COA	949.25	19.6166383461	979	919	D-edges 342 	D-max-degree 21 	D-min-degree 5 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 24 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 26 	DD 24 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 0	NSUC-D-max-in-degree 0	NSUC-D-max-out-degree 0
