
5999	CAN	1252.0625	16.311302638	1275	1215	D-edges 199 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 8 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5787	55	1108.1875	17.5435841193	1144	1077	D-edges 193 	D-max-degree 25 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5786	ADM	1107.9375	16.5848905257	1137	1077	D-edges 196 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5785	4Z	1106.75	17.6369640245	1152	1076	D-edges 194 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5784	YT	1106.125	24.0126919565	1159	1059	D-edges 191 	D-max-degree 22 	D-min-degree 15 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5783	AAX	1106.0625	14.1220959404	1135	1071	D-edges 199 	D-max-degree 25 	D-min-degree 15 	D-max-in-degree 15 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 9 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5782	6N	1105.9375	27.52378233	1172	1063	D-edges 194 	D-max-degree 24 	D-min-degree 14 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5781	6Y	1105.6875	25.4305887417	1152	1055	D-edges 195 	D-max-degree 25 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 8 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5780	4L	1105.375	23.6692706901	1139	1064	D-edges 190 	D-max-degree 22 	D-min-degree 15 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5779	ACE	1105.3125	18.830556119	1144	1057	D-edges 191 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5778	ADA	1104.5	16.8671277934	1138	1077	D-edges 197 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5777	7M	1104.3125	21.8909763087	1156	1070	D-edges 193 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5776	6G	1103.625	19.2609546752	1143	1062	D-edges 196 	D-max-degree 26 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 53 	UR-max-degree 8 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5775	6T	1103.5625	21.1126998214	1143	1064	D-edges 192 	D-max-degree 23 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5774	ABK	1103.0625	14.4502108549	1134	1080	D-edges 197 	D-max-degree 24 	D-min-degree 16 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5773	7D	1102.3125	20.9514878648	1136	1068	D-edges 193 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5772	AK6	1102.1875	12.3754734758	1128	1083	D-edges 201 	D-max-degree 26 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 6 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 9 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5771	4O	1101.75	21.2676397374	1138	1061	D-edges 192 	D-max-degree 23 	D-min-degree 15 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 7 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5770	CCV	1101.3125	15.2262879176	1127	1076	D-edges 197 	D-max-degree 25 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 55 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 19 	NSUC.conn 19
5769	4X	1101.1875	16.9086470112	1130	1068	D-edges 186 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5768	2U	1100.6875	20.885756959	1131	1063	D-edges 193 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5767	3J	1100.1875	20.4059389333	1138	1073	D-edges 197 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5766	32	1100.0625	22.7224249091	1132	1050	D-edges 186 	D-max-degree 23 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5765	7Q	1098.0	20.0624026477	1139	1059	D-edges 198 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 6 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5764	2A	1097.625	20.2696663761	1139	1070	D-edges 191 	D-max-degree 23 	D-min-degree 15 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5763	CBO	1097.5625	16.8558919595	1132	1072	D-edges 199 	D-max-degree 26 	D-min-degree 14 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 7 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5762	5U	1097.125	21.3245017527	1145	1060	D-edges 192 	D-max-degree 22 	D-min-degree 15 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5761	7Z	1096.875	17.9543692454	1131	1070	D-edges 195 	D-max-degree 24 	D-min-degree 15 	D-max-in-degree 14 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5760	3U	1096.875	18.1723519391	1123	1064	D-edges 184 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5759	AIC	1095.6875	17.4022942094	1141	1066	D-edges 196 	D-max-degree 26 	D-min-degree 12 	D-max-in-degree 15 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 9 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5758	AAR	1094.125	28.6288207057	1164	1060	D-edges 194 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5757	AFT	1093.9375	10.2741711953	1122	1076	D-edges 197 	D-max-degree 26 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 5 	D-max-out-degree 13 	D-min-out-degree 6 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5756	3P	1093.6875	22.5047737991	1131	1042	D-edges 190 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5755	24	1093.5625	15.69621272	1117	1053	D-edges 189 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5754	W3	1091.9375	12.0906407502	1108	1069	D-edges 190 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5753	YJ	1090.5625	20.5972350996	1120	1055	D-edges 182 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5752	CBU	1090.4375	20.1089804254	1129	1047	D-edges 196 	D-max-degree 24 	D-min-degree 14 	D-max-in-degree 15 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5751	2X	1090.4375	17.8184200689	1122	1059	D-edges 185 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5750	WG	1090.3125	17.6731390463	1125	1059	D-edges 189 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5749	4K	1089.4375	16.0739258972	1117	1063	D-edges 191 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5748	YQ	1087.75	20.9925582052	1124	1058	D-edges 183 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5747	2Y	1087.5625	18.6278311607	1114	1054	D-edges 183 	D-max-degree 22 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5746	Y3	1087.5	17.9895803175	1122	1061	D-edges 192 	D-max-degree 23 	D-min-degree 15 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5745	ZI	1087.125	19.9996093712	1119	1052	D-edges 183 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5744	27	1086.4375	16.2210077908	1113	1042	D-edges 184 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5743	3A	1085.6875	17.5061373167	1115	1059	D-edges 189 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 12 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 3 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5742	2W	1085.6875	19.237719297	1126	1057	D-edges 190 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5741	2R	1085.1875	17.8087715396	1134	1065	D-edges 183 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5740	XF	1083.5	18.4628004376	1117	1047	D-edges 183 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5739	Z5	1083.4375	21.4066833898	1126	1039	D-edges 184 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5738	2D	1083.3125	18.4279636355	1112	1050	D-edges 184 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5737	YS	1082.5	16.147755262	1119	1061	D-edges 188 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5736	23	1082.375	19.4867743611	1117	1053	D-edges 185 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5735	3S	1081.9375	22.0524056227	1120	1050	D-edges 184 	D-max-degree 23 	D-min-degree 13 	D-max-in-degree 14 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5734	YM	1081.125	22.3826802461	1127	1042	D-edges 185 	D-max-degree 22 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5733	ZX	1080.75	12.774486291	1102	1061	D-edges 189 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5732	RZ	1080.6875	17.915491725	1115	1056	D-edges 186 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5731	WO	1080.0	18.7283208003	1113	1030	D-edges 186 	D-max-degree 22 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5730	2P	1079.9375	15.3275436307	1112	1055	D-edges 189 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5729	XM	1079.25	17.4445550244	1117	1042	D-edges 189 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5728	WI	1078.5625	20.990976484	1130	1044	D-edges 188 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5727	YE	1076.9375	19.2563909846	1095	1023	D-edges 187 	D-max-degree 22 	D-min-degree 13 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5726	VD	1076.875	18.137926425	1112	1029	D-edges 187 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5725	ZH	1076.625	13.0425984758	1098	1050	D-edges 188 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5724	3H	1076.625	20.2202713879	1131	1042	D-edges 183 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5723	Z6	1076.0	15.325632124	1098	1039	D-edges 183 	D-max-degree 23 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5722	YP	1075.8125	24.2441197768	1131	1039	D-edges 184 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5721	V2	1075.5	15.2807067899	1092	1037	D-edges 190 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5720	2Q	1075.4375	14.1949319741	1109	1056	D-edges 190 	D-max-degree 22 	D-min-degree 14 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
