
5999	D7H	1354.8125	46.9497320945	1415	1278	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5742	A2Y	1200.25	20.6715384043	1234	1166	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5741	ATO	1200.0625	24.6360222794	1235	1143	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5740	AR5	1200.0625	17.1153029114	1236	1177	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5739	A5W	1199.9375	28.6039087145	1257	1153	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5738	AFJ	1199.875	20.8472869938	1236	1161	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5737	ARW	1199.8125	14.808016199	1229	1169	D-edges 620 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5736	AP7	1199.8125	23.2223457848	1257	1166	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 69 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5735	ANN	1199.75	24.3246274381	1250	1164	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5734	BKX	1199.4375	20.8505657897	1246	1161	D-edges 617 	D-max-degree 36 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 36 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5733	AX6	1199.1875	31.1753483341	1283	1153	D-edges 619 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5732	BIP	1199.125	26.3791465935	1252	1149	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 69 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5731	AOC	1199.0625	25.493795201	1248	1148	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5730	A72	1199.0625	27.2843103954	1261	1140	D-edges 619 	D-max-degree 36 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 36 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5729	BAE	1198.9375	25.3290069634	1247	1153	D-edges 621 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5728	AMK	1198.75	19.2142525225	1239	1157	D-edges 619 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5727	ALG	1198.625	23.6639889917	1250	1166	D-edges 616 	D-max-degree 37 	D-min-degree 13 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5726	AW7	1197.9375	29.3310176051	1249	1150	D-edges 619 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5725	AS3	1197.3125	23.2693971505	1235	1154	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5724	BAC	1197.0	23.7933814327	1251	1159	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5723	BRY	1196.75	25.5673131166	1248	1147	D-edges 631 	D-max-degree 35 	D-min-degree 17 	D-max-in-degree 20 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 43 	NSUC.conn 43 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 22
5722	AXQ	1196.75	28.8519929988	1251	1147	D-edges 620 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 71 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 32 	NSUC.conn 32 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5721	AKN	1196.75	24.1389208541	1239	1151	D-edges 619 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5720	A57	1195.5625	17.4498164389	1216	1159	D-edges 621 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5719	A4G	1195.5625	27.6992074571	1247	1157	D-edges 621 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5718	AP4	1195.4375	22.3382204696	1244	1160	D-edges 619 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 71 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 33 	NSUC.conn 33 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5717	AUW	1194.8125	30.482000324	1238	1132	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5716	BGR	1194.625	30.6285712203	1245	1145	D-edges 619 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5715	AVL	1194.125	27.0297868101	1242	1137	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5714	AMB	1194.0625	26.0059338181	1240	1145	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5713	ABT	1192.9375	24.582688904	1237	1142	D-edges 619 	D-max-degree 37 	D-min-degree 15 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5712	AW3	1192.875	23.6349185529	1227	1144	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 69 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5711	DZS	1192.6875	20.6419437978	1224	1152	D-edges 633 	D-max-degree 38 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 42 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 42 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5710	BPL	1192.625	23.708845923	1246	1157	D-edges 619 	D-max-degree 37 	D-min-degree 15 	D-max-in-degree 18 	D-min-in-degree 7 	D-max-out-degree 23 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 18 	NSUC-D-max-out-degree 23
5709	AMW	1192.625	22.6684665339	1232	1148	D-edges 617 	D-max-degree 36 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 28 	NSUC.conn 28 	NSUC-D-max-degree 36 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5708	ANE	1192.4375	20.5090490699	1227	1161	D-edges 617 	D-max-degree 37 	D-min-degree 13 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5707	DV7	1192.3125	25.1687274956	1230	1153	D-edges 633 	D-max-degree 34 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5706	AC3	1192.1875	20.2676427773	1225	1158	D-edges 617 	D-max-degree 36 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 71 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 36 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5705	AR7	1191.9375	25.2276355164	1221	1123	D-edges 619 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5704	AKW	1191.875	29.2935039727	1234	1131	D-edges 620 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5703	76	1191.625	22.4105862262	1229	1147	D-edges 618 	D-max-degree 36 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 36 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5702	ASB	1190.625	26.9835019039	1249	1144	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5701	ASE	1190.5625	21.8973992463	1225	1154	D-edges 616 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5700	ARX	1190.1875	19.7015822651	1220	1153	D-edges 620 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5699	DSL	1190.125	42.5292178978	1257	1122	D-edges 626 	D-max-degree 37 	D-min-degree 16 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5698	ADV	1190.125	28.5347923595	1244	1137	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 69 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 29 	NSUC.conn 29 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5697	AYN	1190.0625	28.8194134873	1276	1152	D-edges 620 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5696	AUH	1189.6875	18.7507291525	1221	1143	D-edges 617 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 69 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 29 	NSUC.conn 29 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5695	ABY	1189.625	20.0277151717	1230	1159	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 7 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5694	2M	1189.625	27.19346199	1234	1143	D-edges 615 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 19 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 70 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 30 	NSUC.conn 30 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 22
